	sample	Time	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	Rice straw	0	ContRs0_10	bacteria_odb10	72.6	65.3	7.3	12.9	14.5	124	4475	4475	0.00%	653	87.59	6.01	Gradient Boost (General Model)	11	0.93	4475	267.3767618	2505239	0.7	2909	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__						GCA_017302095.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__Thermomonas sp017302095	94.81	0.594	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_028201335.1, s__Thermomonas mangrovi, 95.0, 90.48, 0.618; GCF_006337105.1, s__Thermomonas aquatica, 95.0, 86.84, 0.313; GCF_016720345.1, s__Thermomonas sp016720345, 95.0, 86.5, 0.293; GCA_946480065.1, s__Thermomonas sp946480065, 95.0, 86.35, 0.289; GCF_014678725.1, s__Thermomonas sp014678725, 95.0, 86.03, 0.225; GCF_014395425.1, s__Thermomonas brevis, 95.0, 85.99, 0.227; GCF_022419185.1, s__Thermomonas flagellata, 95.0, 85.96, 0.226; GCF_024704365.1, s__Thermomonas sp017305095, 95.0, 85.91, 0.187; GCF_004346265.1, s__Thermomonas haemolytica, 95.0, 85.9, 0.201; GCA_021821195.1, s__Thermomonas sp021821195, 95.0, 85.89, 0.217; GCF_000423885.1, s__Thermomonas fusca, 95.0, 85.75, 0.209; GCF_014396975.1, s__Thermomonas carbonis, 95.0, 85.63, 0.238; GCA_024711415.1, s__Thermomonas sp024711415, 95.0, 85.31, 0.175; GCF_011302915.1, s__Thermomonas sp011302915, 95.0, 85.15, 0.225; GCA_023388715.1, s__Thermomonas sp023388715, 95.0, 85.04, 0.21"	73.15	11	0.99565	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	2921	2782	651	order	0.93	0.89	0.76	0.06	0.12	0.77	0.69	FALSE	653	653	139	26	1	0	2505239	2505239	1104242	334125	29640	0	653	29640	2505239	69.9	4475	1983	5742.3	171	507	0
1	Rice straw	0	ContRs0_12	bacteria_odb10	67.7	65.3	2.4	8.9	23.4	124	7306	7306	0.00%	1216	93.22	2.76	Neural Network (Specific Model)	11	0.876	7306	303.5015912	6847651	0.73	6599	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces bacillaris	GCA_003268675.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces bacillaris	95.81	0.843							ani_screen	classification based on ANI only	"GCF_001687325.1, s__Streptomyces sp001687325, 95.0, 89.85, 0.509; GCA_000720535.1, s__Streptomyces halstedii, 95.0, 85.58, 0.238; GCF_009865135.1, s__Streptomyces sp009865135, 95.0, 91.64, 0.672; GCF_014650075.1, s__Streptomyces microflavus, 95.0, 91.27, 0.678; GCF_001715295.1, s__Streptomyces griseus_G, 95.0, 85.19, 0.206; GCF_014648655.1, s__Streptomyces atratus, 95.0, 85.42, 0.221; GCF_026343115.1, s__Streptomyces sp026343115, 95.0, 85.24, 0.198; GCF_000719575.1, s__Streptomyces sp000719575, 95.0, 85.6, 0.225; GCF_900105515.1, s__Streptomyces sp900105515, 95.0, 85.78, 0.224; GCF_008042035.1, s__Streptomyces sp008042035, 95.0, 85.5, 0.23; GCF_001905505.1, s__Streptomyces sp001905505, 95.0, 85.8, 0.241; GCF_900091955.1, s__Streptomyces sp900091955, 95.0, 85.38, 0.217; GCF_014649035.1, s__Streptomyces sindenensis, 95.0, 89.49, 0.484; GCF_004795105.1, s__Streptomyces sp004795105, 95.0, 85.53, 0.231; GCF_000721175.1, s__Streptomyces anulatus_C, 95.0, 89.26, 0.455; GCF_010550605.1, s__Streptomyces sp010550605, 95.0, 85.46, 0.21; GCF_008120935.1, s__Streptomyces sp008120935, 95.0, 85.87, 0.233; GCF_014216315.1, s__Streptomyces finlayi_A, 95.0, 85.36, 0.222; GCF_001700505.1, s__Streptomyces mutomycini, 95.0, 85.5, 0.207; GCF_000718455.1, s__Streptomyces globisporus_A, 95.0, 89.4, 0.475; GCF_000721935.1, s__Streptomyces sp000721935, 95.0, 85.18, 0.185; GCF_026167665.1, s__Streptomyces drozdowiczii, 95.0, 85.68, 0.222; GCF_030719295.1, s__Streptomyces sp000373645, 95.0, 85.79, 0.23; GCF_030719215.1, s__Streptomyces sp008042155, 95.0, 85.44, 0.227; GCF_018619185.1, s__Streptomyces sp018619185, 95.0, 89.31, 0.468; GCA_002551355.1, s__Streptomyces sp002551355, 95.0, 89.39, 0.495; GCF_002154345.1, s__Streptomyces fimicarius, 95.0, 89.71, 0.468; GCF_000718135.1, s__Streptomyces cyaneofuscatus, 95.0, 91.53, 0.663; GCF_003751445.1, s__Streptomyces sp003751445, 95.0, 85.52, 0.247; GCF_002910915.1, s__Streptomyces sp002910915, 95.0, 85.59, 0.221; GCF_003610995.1, s__Streptomyces sp003116725, 95.0, 91.57, 0.653; GCF_003501885.1, s__Streptomyces globisporus_D, 95.0, 89.5, 0.464; GCF_001905595.1, s__Streptomyces sp001905595, 95.0, 90.79, 0.581; GCA_000470535.1, s__Streptomyces sp000470535, 95.0, 85.43, 0.223; GCF_030816615.1, s__Streptomyces sp030816615, 95.0, 85.37, 0.22; GCF_028747205.1, s__Streptomyces sp028747205, 95.0, 89.2, 0.469; GCF_008704555.1, s__Streptomyces nitrosporeus, 95.0, 85.42, 0.211; GCF_001905795.1, s__Streptomyces sp001905795, 95.0, 84.93, 0.181; GCF_030817475.1, s__Streptomyces sp030817475, 95.0, 88.72, 0.425; GCF_014651175.1, s__Streptomyces clavifer, 95.0, 85.63, 0.24; GCF_007096885.1, s__Streptomyces sp007096885, 95.0, 85.49, 0.215; GCF_016901035.1, s__Streptomyces durocortorensis, 95.0, 89.49, 0.46; GCF_014649535.1, s__Streptomyces gelaticus, 95.0, 85.8, 0.225; GCF_030116705.1, s__Streptomyces sp030116705, 95.0, 85.92, 0.229; GCF_001905125.1, s__Streptomyces sp001905125, 95.0, 86.95, 0.316; GCF_014648875.1, s__Streptomyces parvus, 95.06, 89.55, 0.505; GCF_003248355.1, s__Streptomyces sp003248355, 95.0, 85.71, 0.201; GCF_947488945.1, s__Streptomyces sp947488945, 95.0, 85.28, 0.214; GCF_029428675.1, s__Streptomyces sp029428675, 95.0, 85.44, 0.205; GCF_023701695.1, s__Streptomyces sp023701695, 95.0, 85.78, 0.228; GCF_900119365.1, s__Streptomyces atratus_B, 95.0, 86.0, 0.229; GCF_004795015.1, s__Streptomyces sp004795015, 95.0, 85.87, 0.233; GCF_026341775.1, s__Streptomyces sp026341775, 95.0, 86.76, 0.31; GCF_016909575.1, s__Streptomyces sp016909575, 95.0, 85.35, 0.211; GCF_007829885.1, s__Streptomyces brevispora, 95.0, 85.48, 0.222; GCF_017353455.1, s__Streptomyces laculatispora, 95.0, 85.29, 0.2; GCF_013167895.1, s__Streptomyces fulvorobeus, 95.0, 85.42, 0.223; GCF_026340595.1, s__Streptomyces sp026340595, 95.0, 85.62, 0.235; GCF_014650675.1, s__Streptomyces anulatus, 95.0, 89.51, 0.504; GCF_018866325.1, s__Streptomyces sp001895105, 95.0, 89.13, 0.459; GCF_001905365.1, s__Streptomyces sp001905365, 95.0, 85.58, 0.242; GCF_029167645.1, s__Streptomyces sp029167645, 95.0, 85.03, 0.191; GCF_001905735.1, s__Streptomyces sp001905735, 95.0, 85.63, 0.224; GCF_900116325.1, s__Streptomyces sp900116325, 95.0, 85.35, 0.218; GCA_014649555.1, s__Streptomyces globisporus, 96.16, 89.76, 0.503; GCF_016745505.1, s__Streptomyces silvae, 95.0, 85.85, 0.252; GCF_022347745.1, s__Streptomyces sp022347745, 95.0, 85.35, 0.197; GCF_000717245.1, s__Streptomyces papulosus, 95.0, 85.5, 0.232; GCF_008042275.1, s__Streptomyces sp008042275, 95.0, 85.52, 0.229; GCF_900091725.1, s__Streptomyces sp900091725, 95.0, 86.04, 0.251; GCF_026339735.1, s__Streptomyces sp026339735, 95.0, 85.5, 0.217; GCF_026342115.1, s__Streptomyces sp026342115, 95.0, 85.74, 0.249; GCF_029428875.1, s__Streptomyces sp029428875, 95.0, 85.38, 0.217; GCF_019399235.1, s__Streptomyces poriferorum, 95.0, 85.62, 0.226; GCF_026342835.1, s__Streptomyces sp026342835, 95.0, 85.53, 0.223; GCF_014649875.1, s__Streptomyces rubiginosohelvolus, 95.7, 89.78, 0.517; GCF_002941025.1, s__Streptomyces sp002941025, 95.0, 85.57, 0.232; GCA_002082585.1, s__Streptomyces albolongus, 95.0, 91.72, 0.646; GCF_000717645.1, s__Streptomyces californicus, 95.0, 88.94, 0.44; GCF_003846175.1, s__Streptomyces sp003846175, 95.0, 85.77, 0.239; GCF_001905905.1, s__Streptomyces sp001905905, 95.0, 88.53, 0.417; GCF_016804005.1, s__Streptomyces pratensis_A, 95.0, 85.22, 0.21; GCF_028622875.1, s__Streptomyces sp002551245, 95.0, 88.98, 0.451; GCF_000177195.2, s__Streptomyces sp000177195, 95.0, 85.51, 0.235; GCF_002910905.1, s__Streptomyces sp002910905, 95.0, 89.33, 0.454; GCF_003846185.1, s__Streptomyces sp003846185, 95.0, 87.69, 0.357; GCF_004795035.1, s__Streptomyces sp004795035, 95.0, 85.69, 0.229; GCF_000717025.1, s__Streptomyces atroolivaceus, 95.0, 85.39, 0.213; GCF_029167625.1, s__Streptomyces sp029167625, 95.0, 85.1, 0.175; GCF_900460065.1, s__Streptomyces griseus, 95.0, 89.23, 0.496; GCF_026342195.1, s__Streptomyces sp026342195, 95.0, 85.77, 0.25; GCF_026340885.1, s__Streptomyces sp026340885, 95.0, 85.77, 0.214; GCF_002382885.1, s__Streptomyces sp002382885, 95.0, 89.24, 0.45"					6602	6458	1215	kingdom	1	0.98	0	0	0	0.86	0.84	TRUE	1216	1216	513	154	5	0	6847651	6847651	4754099	2199048	145130	0	1216	32361	6847651	72.68	7306	2789	8750.7	296	890	0
2	Rice straw	0	ContRs0_13	bacteria_odb10	70.2	70.2	0	9.7	20.1	124	9859	9859	0.00%	399	86.72	3.09	Neural Network (Specific Model)	11	0.908	9859	300.387129	2970765	0.63	2999	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__											d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		74.48	11	0.92494		2991	2881	399	order	0.93	0.9	0.25	0.03	0.06	0.76	0.68	TRUE	399	399	209	75	13	2	2970765	2970765	2377043	1432549	467911	103864	399	52101	2970765	63.17	9859	3462	14434.5	81	279	0
3	Rice straw	0	ContRs0_14	bacteria_odb10	73.4	71.8	1.6	5.6	21	124	30514	30514	0.00%	246	94.42	1.84	Neural Network (Specific Model)	11	0.899	30514	307.5968598	4439394	0.67	4331	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__						GCF_900156025.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__Bosea sp900156025	86.32	0.458	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_025209975.1, s__Bosea minatitlanensis, 95.0, 84.73, 0.297; GCF_014764685.1, s__Bosea spartocytisi, 95.0, 84.22, 0.304; GCF_024655635.1, s__Bosea sp024655635, 95.0, 84.01, 0.289; GCF_900102525.1, s__Bosea robiniae, 95.0, 83.97, 0.286; GCF_016428755.1, s__Bosea sp016428755, 95.0, 83.92, 0.279; GCF_900168195.1, s__Bosea thiooxidans, 95.0, 83.92, 0.268; GCF_030758975.1, s__Bosea sp030758975, 95.0, 83.89, 0.268; GCF_011764485.1, s__Bosea sp011764485, 95.0, 83.86, 0.254; GCA_930633495.1, s__Bosea sp930633495, 95.0, 83.82, 0.255; GCF_026020075.1, s__Bosea sp026020075, 95.0, 83.77, 0.265; GCF_001898115.1, s__Bosea sp001898115, 95.0, 83.7, 0.276; GCF_023953965.1, s__Bosea sp023953965, 95.0, 83.66, 0.215; GCA_023393655.1, s__Bosea sp023393655, 95.0, 83.63, 0.232; GCF_945956895.1, s__Bosea sp945956895, 95.0, 83.6, 0.251; GCA_900473415.1, s__Bosea sp900473415, 95.0, 83.45, 0.252; GCF_002220095.1, s__Bosea sp002220095, 95.0, 83.37, 0.262; GCF_945957345.1, s__Bosea sp945957345, 95.0, 83.36, 0.269; GCF_025499465.1, s__Bosea sp025499465, 95.0, 83.2, 0.245; GCF_008253865.1, s__Bosea sp008253865, 95.0, 83.2, 0.244; GCA_004144595.1, s__Bosea sp004144595, 95.0, 83.09, 0.233; GCF_017308015.1, s__Bosea sp017308015, 95.0, 82.91, 0.226; GCA_001556125.1, s__Bosea sp001556125, 95.0, 82.51, 0.2; GCA_003248805.1, s__Bosea sp003248805, 95.0, 82.48, 0.199; GCF_001713455.1, s__Bosea sp001713455, 95.0, 82.47, 0.21; GCF_001429395.1, s__Bosea sp001429395, 95.0, 82.46, 0.197; GCF_030695125.1, s__Bosea sp030695125, 95.0, 82.44, 0.179; GCF_001298265.1, s__Bosea vaviloviae_B, 95.0, 82.16, 0.19; GCF_003046175.1, s__Bosea sp003046175, 95.0, 82.15, 0.191; GCF_003351345.1, s__Bosea caraganae, 95.0, 82.02, 0.166; GCF_030694325.1, s__Bosea sp030694325, 95.0, 82.01, 0.164; GCA_002279705.1, s__Bosea sp002279705, 95.0, 82.01, 0.156; GCA_900470775.1, s__Bosea sp900470775, 95.0, 81.96, 0.19; GCF_900185715.1, s__Bosea sp900185715, 95.0, 81.93, 0.167; GCF_900109525.1, s__Bosea lupini, 95.0, 81.84, 0.164; GCA_001556025.1, s__Bosea sp001556025, 95.0, 81.67, 0.156; GCF_004341515.1, s__Bosea sp004341515, 95.0, 81.66, 0.163; GCF_002917105.1, s__Bosea psychrotolerans, 95.0, 81.64, 0.176; GCF_001426225.1, s__Bosea sp001426225, 95.0, 81.62, 0.158; GCF_001295925.1, s__Bosea sp001295925, 95.0, 81.57, 0.153; GCF_001741865.1, s__Bosea vaviloviae, 95.0, 81.53, 0.162; GCF_900108245.1, s__Bosea lathyri, 95.0, 81.5, 0.151; GCF_900112185.1, s__Bosea sp900112185, 95.0, 81.49, 0.153; GCA_024231975.1, s__Bosea sp024231975, 95.0, 81.46, 0.155; GCF_001562255.1, s__Bosea sp001562255, 95.0, 81.43, 0.168; GCA_003241815.1, s__Bosea sp003241815, 95.0, 81.43, 0.155; GCF_900113835.1, s__Bosea sp900113835, 95.0, 81.25, 0.167"	75.39	11	0.98807		4359	4230	246	family	0.91	0.88	0.15	0.03	0.07	0.85	0.76	TRUE	246	246	189	134	58	16	4439394	4439394	4271733	3890248	2632691	1243295	246	136232	4439394	67.47	30514	8365	40255.5	44	146	0
4	Rice straw	0	ContRs0_15	bacteria_odb10	91.1	90.3	0.8	4.8	4.1	124	10036	10036	0.00%	277	94.73	0.5	Neural Network (Specific Model)	11	0.881	10036	278.2306954	1972313	0.35	2085	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.79	0.92							ani_screen	classification based on ANI only	"GCF_001591705.1, s__Lactococcus cremoris, 95.0, 88.88, 0.597"					2098	2029	277	kingdom	1	0.97	0	0	0	0.88	0.85	TRUE	277	277	142	60	7	0	1972313	1972313	1581065	988035	203323	0	277	35922	1972313	35.14	10036	3099	12291.9	60	191	0
5	Rice straw	0	ContRs0_19	bacteria_odb10	67.8	61.3	6.5	11.3	20.9	124	9359	9359	0.00%	552	86.44	4.77	Neural Network (Specific Model)	11	0.94	9359	286.7698374	3706272	0.74	4058	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__						GCF_000720335.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__Marmoricola aequoreus	91.22	0.745	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_943913695.1, s__Marmoricola sp943913695, 95.0, 86.54, 0.39; GCF_001424755.1, s__Marmoricola sp001424755, 95.0, 83.35, 0.187; GCF_900104965.1, s__Marmoricola scoriae, 95.0, 83.3, 0.181; GCF_003752505.1, s__Marmoricola aurantiacus, 95.0, 82.93, 0.171"	64.69	11	0.99022	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	4055	3999	552	genus	0.93	0.91	0.59	0.07	0.14	0.9	0.82	FALSE	552	552	262	111	7	0	3706272	3706272	2833772	1751848	214465	0	552	36723	3706272	73.84	9359	3112	11345.4	122	387	0
6	Rice straw	0	ContRs0_2	bacteria_odb10	88.7	72.6	16.1	4	7.3	124	78535	78535	0.00%	148	99.95	9.01	Neural Network (Specific Model)	11	0.862	78535	304.3823651	5131008	0.54	4854	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea ananatis	GCF_000710035.2	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea ananatis	95.69	0.832							ani_screen	classification based on ANI only	"GCF_008801695.1, s__Pantoea stewartii, 95.0, 85.86, 0.466; GCF_002307475.1, s__Pantoea allii, 95.0, 88.44, 0.688"					4840	4727	145	genus	0.9	0.88	0.33	0.03	0.06	0.96	0.84	TRUE	148	148	96	86	58	36	5131008	5131008	5029436	4957695	4492926	3613816	148	228312	5131008	53.67	78535	22751	91816	21	64	0
7	Rice straw	0	ContRs0_21	bacteria_odb10	54.8	53.2	1.6	17.7	27.5	124	3758	3758	0.00%	1358	80.85	9.71	Gradient Boost (General Model)	11	0.925	3758	255.6506598	4511465	0.72	5456	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Belnapia;s__											d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Belnapia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_000802185.1, s__Belnapia sp000802185, 95.0, 90.98, 0.55; GCF_000745835.1, s__Belnapia moabensis, 95.0, 89.89, 0.54; GCF_016773205.1, s__Belnapia arida, 95.0, 89.67, 0.546; GCA_902805545.1, s__Belnapia sp902805545, 95.0, 89.38, 0.451; GCF_900101615.1, s__Belnapia rosea, 95.0, 88.49, 0.38; GCF_016775475.1, s__Belnapia mucosa, 95.0, 87.87, 0.325; GCF_030409335.1, s__Belnapia aquatica, 95.0, 86.23, 0.181"	56.25	11	0.9905	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	5477	5382	1358	family	0.92	0.9	0.89	0.03	0.07	0.9	0.81	FALSE	1358	1358	208	18	0	0	4511465	4511465	1459009	214655	0	0	1358	16329	4511465	71.76	3758	1832	4462.4	394	1085	0
8	Rice straw	0	ContRs0_23	bacteria_odb10	79.8	79.8	0	11.3	8.9	124	7030	7030	0.00%	767	89.37	5.77	Neural Network (Specific Model)	11	0.924	7030	285.4195633	4149681	0.71	4488	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Herbiconiux;s__Herbiconiux sp013113715	GCF_013113715.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Herbiconiux;s__Herbiconiux sp013113715	97.77	0.88							ani_screen	classification based on ANI only	"GCF_001571005.1, s__Herbiconiux solani, 95.0, 84.6, 0.175; GCF_004297105.1, s__Herbiconiux sp004297105, 95.0, 84.4, 0.186; GCF_024979275.1, s__Herbiconiux oxytropis, 95.0, 84.52, 0.187; GCA_005502775.1, s__Herbiconiux sp005502775, 95.0, 84.63, 0.177; GCF_024978135.1, s__Herbiconiux gentiana, 95.0, 85.23, 0.191; GCF_023264855.1, s__Herbiconiux sp023264855, 95.0, 84.56, 0.178; GCF_900107435.1, s__Herbiconiux ginsengi, 95.0, 84.4, 0.153; GCF_015350805.1, s__Herbiconiux sp015350805, 95.0, 85.37, 0.199; GCF_013409865.1, s__Herbiconiux flava, 95.0, 84.67, 0.195; GCF_024979255.1, s__Herbiconiux moechotypicola, 95.0, 85.46, 0.228; GCF_023264895.1, s__Herbiconiux sp023264895, 95.0, 84.24, 0.181; GCF_024979295.1, s__Herbiconiux daphne, 95.0, 84.39, 0.164"					4499	4291	767	genus	0.79	0.75	0.43	0.24	0.67	0.77	0.58	TRUE	767	767	325	92	3	0	4149681	4149681	2863290	1254994	86613	0	767	32210	4149681	70.67	7030	2672	8283.7	193	563	0
9	Rice straw	0	ContRs0_25	bacteria_odb10	71.8	69.4	2.4	3.2	25	124	16884	16884	0.00%	183	70.93	2.04	Neural Network (Specific Model)	11	0.891	16884	299.1795108	2180859	0.44	2167	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter soli	GCF_000760595.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter soli	98.83	0.95							ani_screen	classification based on ANI only	"GCA_913777945.1, s__Acinetobacter sp913777945, 95.0, 91.56, 0.235"					2172	2150	183	kingdom	1	0.99	0	0	0	0.98	0.97	TRUE	183	183	135	76	20	2	2180859	2180859	2018339	1592646	740024	107539	183	53855	2180859	44.22	16884	5830	21338.4	37	125	0
